Building;Roof Area (m²);Slope (°);Orientation (°);Yield (MWh);Max Power (kW)
Heynestraße 7;188.30619499924006;169.99437811865167;337.35689132934993;5.7;5.74
Heynestraße 7;110.8042449987212;142.98056810743066;247.36033099562093;4.7;4.03
Heynestraße 7;33.27269499890169;135.023324264712;157.3734986030131;1.61;1.32
Heynestraße 7;110.88246499701094;142.99682674610335;67.34449186025437;4.7;4.03
Brückenstraße 10;591.7928402733866;180.0;0.0;17.35;17.84
Brückenstraße 10;172.67304809914913;0.0;-0.0;30.11;25.65
Brückenstraße 10;53.77288411115565;0.0;0.0;9.38;7.99
Parkstraße 3;46.29798999941762;44.05805818846078;207.15068597310625;6.99;33.86
Parkstraße 3;40.024485226431175;42.645421444187534;28.22877785673473;5.89;4.72
Parkstraße 3;135.49710199944423;0.0;0.0;22.17;17.58
Parkstraße 3;10.009170001191478;0.0;0.0;1.64;1.3
Am Stadtpark 1;931.1389181205722;0.0;-0.0;165.34;138.33
Am Stadtpark 1;17.449881335379015;0.0;0.0;3.1;2.59
Am Stadtpark 1;50.77589363096729;0.0;0.0;9.02;7.54
Am Stadtpark 1;56.16639782033378;0.0;0.0;9.97;8.34
Am Stadtpark 1;461.87181127713365;0.0;-0.0;82.01;68.62
Am Stadtpark 1;278.78982760441403;0.0;0.0;49.5;41.42
Am Stadtpark 1;65.29297901788551;0.0;0.0;11.59;9.7
Am Stadtpark 1;283.2421276469782;0.0;0.0;50.29;42.08
Am Stadtpark 1;45.8795991905182;0.0;-0.0;8.15;6.82
Am Stadtpark 1;398.6280907513155;0.0;-0.0;70.78;59.22
Am Stadtpark 1;14.204543980751332;0.0;0.0;2.52;2.11
Am Stadtpark 1;219.52250361493986;0.0;0.0;38.98;32.61
Dr.-Kahlbaum-Allee 31;44.613584000137806;167.2465637641975;113.35045987833398;1.36;1.35
Dr.-Kahlbaum-Allee 31;176.58526238094817;12.506011382535684;23.388242501707815;26.5;25.19
Dr.-Kahlbaum-Allee 31;174.0747656981816;13.389874256187943;205.88539870416238;34.63;37.74
Dr.-Kahlbaum-Allee 31;35.63907515500554;0.0;0.0;6.26;5.29
Dr.-Kahlbaum-Allee 31;40.927825684687;13.19572982067786;205.8835350221156;8.13;8.84
Dr.-Kahlbaum-Allee 31;131.908182063239;16.103557973092112;113.26492039808215;19.62;21.97
Dr.-Kahlbaum-Allee 31;132.51492197540523;15.190030928422413;291.67603539523975;26.88;32.72
Dr.-Kahlbaum-Allee 31;102.7077938125259;12.836790326142651;22.061054820386865;15.4;14.91
Dr.-Kahlbaum-Allee 31;105.40180971441656;13.762693970369321;205.8829710577712;21.03;23.03
Dr.-Kahlbaum-Allee 31;23.563260000138467;157.23154104117023;24.845788843302756;0.87;2.08
Dr.-Kahlbaum-Allee 31;74.96312892824024;26.374691765426874;293.35219191663776;16.14;22.21
Dr.-Kahlbaum-Allee 31;74.16433794380447;27.995613115090006;116.04212602499457;10.51;13.6
Dr.-Kahlbaum-Allee 31;16.390592636017942;0.0;0.0;2.88;2.44
Dr.-Kahlbaum-Allee 31;69.19304029336692;17.31324817676885;24.867348398918264;9.63;11.03
Am Stadtpark 6;33.77771358678794;55.6850892091189;256.9127710263987;4.45;3.21
Am Stadtpark 6;39.871576501119584;56.0510145997989;76.68652279465365;5.24;3.78
Am Stadtpark 6;136.53873150451437;0.0;0.0;21.88;15.57
Am Stadtpark 6;47.323819985907534;10.393651025656744;256.95882859904987;7.53;5.36
Am Stadtpark 6;9.08563767305434;31.21349953799277;76.91153536846384;1.37;0.98
Am Stadtpark 6;9.079191653660486;32.989930757838174;256.45268227000435;1.36;0.97
Am Stadtpark 6;11.876805026861076;0.0;0.0;1.9;1.35
Brückenstraße 3;121.60737700383271;40.20573450329165;1.684684274658772;18.2;14.49
Brückenstraße 3;122.44273599787677;40.617315943225755;180.90216610334753;21.58;70.02
Brückenstraße 3;79.34883949408723;5.436879945742322;268.357942263793;14.09;22.84
Brückenstraße 3;35.208859993989506;83.78874461036428;182.3139088530324;4.84;23.95
Furtstraße 3;146.193602506426;13.741092343708804;255.3906711892227;26.69;115.06
Furtstraße 3;77.61554149373005;13.45322842939669;344.8803706325935;13.91;42.67
Furtstraße 3;146.24775099541426;13.723772123733593;75.2302655005253;23.88;18.23
Furtstraße 3;16.795850997688678;97.1267784204508;68.99672952509901;1.45;1.21
Furtstraße 3;16.665493499347484;42.781338573863806;347.2644816705256;2.94;13.76
Furtstraße 3;11.129821498948285;0.0;-0.0;1.9;1.61
Furtstraße 1;301.5398293582411;0.0;-0.0;49.71;44.71
